n_patterns,avg_time_ms,total_matches,total_bytes
8,10.635787,13,100000
88,11.177959,137,100000
168,10.183188,265,100000
248,10.555576,340,100000
328,11.410364,453,100000
408,11.677048,560,100000
488,11.860953,714,100000
568,11.633738,855,100000
648,10.877128,969,100000
728,12.610870,1004,100000
808,12.620836,1122,100000
888,12.842034,1241,100000
968,12.931200,1342,100000
1048,13.238161,1490,100000
1128,13.430178,1607,100000
1208,13.513324,1743,100000
1288,13.544218,1803,100000
1368,13.846186,1899,100000
1448,13.941032,2009,100000
1528,14.163193,2146,100000
1608,14.297916,2227,100000
1688,14.381119,2466,100000
1768,14.807057,2470,100000
1848,14.771888,2600,100000
1928,14.946514,2693,100000
2008,15.132680,2911,100000
2088,15.465084,2976,100000
2168,16.949209,3089,100000
2248,15.940536,3167,100000
2328,15.841759,3350,100000
2408,16.121107,3414,100000
2488,16.326009,3573,100000
2568,17.640771,3709,100000
2648,17.832128,3760,100000
2728,17.072848,3861,100000
2808,17.232496,3986,100000
2888,19.253160,4024,100000
2968,17.805423,4360,100000
3048,17.774115,4247,100000
3128,19.195114,4481,100000
3208,18.621822,4500,100000
3288,18.342142,4681,100000
3368,20.385989,4810,100000
3448,19.006888,4839,100000
3528,18.996255,5049,100000
3608,20.880834,5054,100000
3688,19.110260,5254,100000
3768,21.418506,5345,100000
3848,19.625872,5553,100000
3928,21.754753,5598,100000
4008,20.093715,5810,100000
4088,22.418658,5797,100000
4168,20.409392,5885,100000
4248,22.452697,5953,100000
4328,20.728632,6264,100000
4408,23.091184,6340,100000
4488,22.750450,6184,100000
4568,21.653660,6400,100000
4648,23.614248,6634,100000
4728,21.767880,6786,100000
4808,23.423429,6763,100000
4888,24.072232,6814,100000
4968,22.853938,6947,100000
5048,23.937874,7132,100000
5128,24.795014,7289,100000
5208,25.156837,7415,100000
5288,22.976654,7499,100000
5368,25.003594,7735,100000
5448,25.566297,7786,100000
5528,25.641006,7902,100000
5608,26.135417,7911,100000
5688,24.809713,8247,100000
5768,24.891676,8165,100000
5848,26.688290,8296,100000
5928,26.637083,8388,100000
6008,27.299704,8640,100000
6088,27.105380,8674,100000
6168,27.788611,8682,100000
6248,27.398511,8979,100000
6328,27.223392,8887,100000
6408,27.316776,9052,100000
6488,27.581825,9242,100000
6568,27.684526,9217,100000
6648,27.899800,9449,100000
6728,28.697493,9609,100000
6808,28.338546,9681,100000
6888,28.425530,9787,100000
6968,28.998387,10027,100000
7048,29.921105,10107,100000
7128,29.936272,10096,100000
7208,29.618864,10148,100000
7288,29.307414,10437,100000
7368,29.781909,10525,100000
7448,30.041639,10580,100000
7528,31.376523,10618,100000
7608,30.189729,10720,100000
7688,30.814549,10909,100000
7768,31.423332,11135,100000
7848,31.649982,11090,100000
7928,31.304646,11187,100000
8008,31.655686,11247,100000
8088,32.911708,11487,100000
8168,33.116771,11525,100000
