ruleset_index	matches	time_ms
0	[(10,875),(38,1528),(39,1226),(42,3624),(53,3244),(60,757),(61,3993),(62,88)]	44.580304
1	[(2,5352),(22,4597),(23,2530),(24,1666),(27,4638),(56,770),(75,2524),(76,4183)]	47.928960
2	[(4,5040),(6,5162),(11,536),(27,5404),(55,5455),(61,4428),(63,1679),(70,1485),(74,2718),(78,3084),(89,3516)]	42.541854
3	[(6,4153),(11,4267),(19,3471),(32,4595),(33,1084),(39,1374),(68,5696),(79,182),(90,3012)]	40.499325
4	[(31,3320),(32,3807),(34,5736),(65,1846),(71,357),(80,5604),(83,4614),(92,4647)]	40.431505
5	[(0,3612),(4,147),(13,4106),(14,2692),(18,3714),(34,5265),(42,703),(45,485),(74,2024),(76,85)]	41.721107
6	[(53,2056),(60,1401),(78,1071),(86,893)]	41.323368
7	[(0,2100),(8,52),(19,3569),(50,3601),(60,4802),(69,2283),(74,4543),(78,648),(79,2606),(82,3311)]	39.910007
8	[(9,4022),(10,5629),(14,5354),(16,5285),(19,205),(20,3406),(23,5707),(38,1591),(51,4660)]	40.573511
9	[(8,5749),(13,3818),(63,5692),(72,1537),(78,4053),(81,4446),(82,1303),(84,1648),(92,148)]	39.402982
10	[(3,911),(7,183),(8,748),(12,2022),(18,1436),(39,4695),(50,2422),(58,528),(60,4361),(66,5306),(75,5385),(83,1456)]	40.566982
11	[(11,4999),(34,3056),(37,4641),(42,5727),(47,1529),(85,3540)]	39.727011
12	[(27,3001),(28,2715),(29,4429),(42,2725),(53,5610),(76,977),(92,3624)]	41.367723
13	[(1,5063),(7,2991),(13,2038),(35,4224),(41,2070),(42,3621),(61,2922),(66,4514),(69,1655),(87,1827),(88,1382)]	42.117049
14	[(4,2006),(13,3877),(24,4323),(31,1523),(37,1241),(39,1193),(43,5127),(50,2156),(52,3314)]	40.132138
15	[(26,1080),(27,1077),(42,5474),(50,197),(52,1331),(71,1486),(73,5669)]	48.085998
16	[(7,1694),(20,3728),(26,121),(28,4164),(30,5072),(48,992),(63,1787),(75,5530)]	48.474763
17	[(0,4831),(3,1604),(6,5739),(11,2627),(18,848),(25,3921),(27,4701),(32,1231),(55,1885),(68,2974),(79,5221),(81,1553),(84,5140)]	43.969900
18	[(7,3927),(55,5211),(88,1321)]	40.393093
